circID	Cons_coords	type	gene_id	gene_type	gene_name	Change	circAtlas	circBase	circPedia	NtissuesDE	Tissues	medianLFC	medianPadj	medianBMean
cRNA_0004	chrX:82921653-82930839	JNC-JNC	ENSMUSG00000045103.20	protein_coding	Dmd	UP	mmu-Dmd_0056	NA	MMU_CIRCpedia_31435	1	Heart	2.7790463051778813	0.00635468008192035	4.303858178924634
cRNA_0021	chr13:17937689-17947542	JNC-JNC	ENSMUSG00000041297.9	protein_coding	Cdk13	UP	mmu-Cdk13_0012	mm9_circ_016768	MMU_CIRCpedia_12127	2	Kidney, Liver	1.126702546744672	0.015611389919535755	7.910213951764883
cRNA_0026	chr13:35999892-36000558	FULLEX	ENSMUSG00000059288.15	protein_coding	Cdyl	DOWN	mmu-Cdyl_0006	mm9_circ_003780	MMU_CIRCpedia_17892	1	Kidney	-0.5971945452570806	0.03207400988016185	21.97021045829782
cRNA_0028	chr13:38072847-38083763	JNC-JNC	ENSMUSG00000039087.18	protein_coding	Rreb1	DOWN	mmu-Rreb1_0001	mm9_circ_011756	MMU_CIRCpedia_18690	1	Kidney	-0.8872855030246612	0.01584814446695376	17.60339236735904
cRNA_0029	chr13:41492053-41492496	FULLEX	ENSMUSG00000021365.16	protein_coding	Nedd9	UP	mmu-Nedd9_0001	NA	MMU_CIRCpedia_19616	3	Colon, Heart, Kidney	2.0985231029632274	0.019162944304092037	4.090864210236925
cRNA_0043	chr13:98402659-98409360	JNC-JNC	ENSMUSG00000021661.17	protein_coding	Ankra2	DOWN	mmu-Ankra2_0001	NA	MMU_CIRCpedia_35770	1	Muscle	-2.610151614400434	0.00233464334870749	3.818224176599098
cRNA_0044	chr13:101893834-101894547	FULLEX	ENSMUSG00000041417.16	protein_coding	Pik3r1	UP	mmu-Pik3r1_0005	NA	MMU_CIRCpedia_568	1	Muscle	1.867128229848443	0.0071070552695793945	7.010964495755189
cRNA_0046	chr13:104020651-104025793	JNC-JNC	ENSMUSG00000021709.15	protein_coding	Erbin	UP	mmu-Erbb2ip_0035	mm9_circ_013774	MMU_CIRCpedia_1069	1	Kidney	0.47569806160503736	0.0050385255500806	77.13900236065362
cRNA_0064	chr12:51702185-51708496	JNC-JNC	ENSMUSG00000020954.17	protein_coding	Strn3	UP	mmu-Strn3_0031	mm9_circ_004275	MMU_CIRCpedia_22143	1	Kidney	1.3295413029914476	0.01691345807915386	5.672910580255418
cRNA_0065	chr12:51806002-51807953	JNC-JNC	ENSMUSG00000035247.17	protein_coding	Hectd1	UP	mmu-Hectd1_0012	mm9_circ_002888	MMU_CIRCpedia_22183	1	Kidney	0.8865746719798797	0.005569609357488945	22.324036072749177
cRNA_0066	chr12:51819057-51819488	JNC-JNC	ENSMUSG00000035247.17	protein_coding	Hectd1	DOWN	mmu-Hectd1_0024	mm9_circ_008488	MMU_CIRCpedia_22192	1	Liver	-1.4164678435531723	0.00654482328817466	4.7990467778120705
cRNA_0070	chr12:57350131-57354250	JNC-JNC	ENSMUSG00000047022.19	protein_coding	Mipol1	UP	mmu-Mipol1_0018,mmu-Mipol1_0040	NA	MMU_CIRCpedia_23802	1	Kidney	1.091380167795968	0.03013898968382081	7.060886373445723
cRNA_0075	chr12:75531906-75562572	JNC-JNC	ENSMUSG00000021051.11	protein_coding	Ppp2r5e	UP	mmu-Ppp2r5e_0007	NA	MMU_CIRCpedia_29068	1	Kidney	1.7399623600536955	0.02476255842449086	3.177223904930631
cRNA_0078	chr12:82387436-82389273	FULLEX	ENSMUSG00000042700.17	protein_coding	Sipa1l1	UP	mmu-Sipa1l1_0031	mm9_circ_007155	MMU_CIRCpedia_31036	3	Colon, Ileon, Liver	1.4746144107341146	1.9159230965955768e-4	22.64171352170749
cRNA_0090	chr12:107955724-107956089	FULLEX	ENSMUSG00000048251.16	protein_coding	Bcl11b	UP	mmu-Bcl11b_0009,mmu-Bcl11b_0008	mm9_circ_001140	MMU_CIRCpedia_2209	1	Ileon	1.2301270747509767	0.029013536541792475	5.280972041348322
cRNA_0103	chr11:6143154-6143476	FULLEX	ENSMUSG00000053838.15	protein_coding	Nudcd3	UP	mmu-Nudcd3_0002	mm9_circ_005786	MMU_CIRCpedia_25157	1	Kidney	0.982214065288768	0.01621692383143895	17.033301287272568
cRNA_0104	chr11:6263788-6267080	JNC-JNC	ENSMUSG00000020456.18	protein_coding	Ogdh	UP	mmu-Ogdh_0003	mm9_circ_001335	MMU_CIRCpedia_25484	1	Ileon	1.1277456900969614	0.02984408040615139	12.1545560137173
cRNA_0108	chr11:12293744-12328359	JNC-JNC	ENSMUSG00000020173.18	protein_coding	Cobl	UP	mmu-Cobl_0002	mm9_circ_018049	MMU_CIRCpedia_6080	1	Ileon	3.953471649512942	3.3118589055047655e-6	4.1692761764399116
cRNA_0109	chr11:12315105-12328359	JNC-JNC	ENSMUSG00000020173.18	protein_coding	Cobl	UP	mmu-Cobl_0001	NA	MMU_CIRCpedia_6175	1	Ileon	2.4559902589856684	4.1391553379769826e-4	5.150533033782039
cRNA_0121	chr11:62037132-62052736	JNC-JNC	ENSMUSG00000042331.14	protein_coding	Specc1	DOWN	mmu-Specc1_0007	mm9_circ_001346	MMU_CIRCpedia_25187	1	Heart	-1.885730620052804	0.04319279539268735	7.284149382312217
cRNA_0124	chr11:65109355-65124010	JNC-JNC	ENSMUSG00000020542.19	protein_coding	Myocd	UP	mmu-Myocd_0001	NA	MMU_CIRCpedia_26108	1	Heart	0.6863864801091397	0.0033807044681254	120.4973256643184
cRNA_0125	chr11:68720741-68736250	JNC-JNC	ENSMUSG00000018736.15	protein_coding	Ndel1	UP	mmu-Ndel1_0012	NA	MMU_CIRCpedia_27059	1	Kidney	1.269709939452397	9.9833608073702e-4	11.272344806271
cRNA_0126	chr11:69540554-69542549	JNC-JNC	ENSMUSG00000018765.7	protein_coding	Fxr2	UP	mmu-Fxr2_0001	mm9_circ_005799	MMU_CIRCpedia_27231	1	Liver	1.290640904900664	0.027476067298320025	3.5598552750892534
cRNA_0127	chr11:70765572-70775794	JNC-JNC	ENSMUSG00000020817.17	protein_coding	Rabep1	DOWN	mmu-Rabep1_0026	mm9_circ_001848	MMU_CIRCpedia_27619	1	Liver	-1.1884772455594292	1.965697158729708e-5	20.457843081920544
cRNA_0128	chr11:70765572-70777997	JNC-JNC	ENSMUSG00000020817.17	protein_coding	Rabep1	DOWN	mmu-Rabep1_0027	mm9_circ_001327	MMU_CIRCpedia_27620	1	Liver	-1.1483867739964195	3.8933962792441764e-4	16.95543724326466
cRNA_0139	chr11:84083905-84086513	JNC-JNC	ENSMUSG00000020532.19	protein_coding	Acaca	UP	mmu-Acaca_0004	mm9_circ_010321	MMU_CIRCpedia_31553	1	Muscle	2.436632529514279	0.00235091727905982	6.7962991298329865
cRNA_0155	chr10:12312025-12331308	JNC-JNC	ENSMUSG00000019820.12	protein_coding	Utrn	DOWN	mmu-Utrn_0025	mm9_circ_009056	MMU_CIRCpedia_6294	2	Colon, Ileon	-1.59869216641619	0.0014256918133527478	10.576753648200755
cRNA_0157	chr10:12496935-12564171	JNC-JNC	ENSMUSG00000019820.12	protein_coding	Utrn	UP	mmu-Utrn_0030	NA	MMU_CIRCpedia_6626	1	Muscle	2.34180337441048	0.026396992965374	2.843069795935345
cRNA_0160	chr10:25096509-25165628	JNC-JNC	ENSMUSG00000039166.17	protein_coding	Akap7	UP	mmu-Akap7_0001	mm9_circ_000741	MMU_CIRCpedia_14415	3	Kidney, Liver, Muscle	1.7960595197871392	0.00242213476861479	10.77271045190664
cRNA_0161	chr10:25143206-25165628	JNC-JNC	ENSMUSG00000039166.17	protein_coding	Akap7	UP	mmu-Akap7_0002	mm9_circ_010383	MMU_CIRCpedia_14437	1	Muscle	1.230138346784814	0.004436775736813555	15.60419465506258
cRNA_0165	chr10:39952560-39956803	JNC-JNC	ENSMUSG00000019838.12	protein_coding	Slc16a10	DOWN	mmu-Slc16a10_0002	NA	MMU_CIRCpedia_19283	1	Heart	-2.417370578484873	0.002166742385120745	15.781240651611817
cRNA_0170	chr10:62606634-62607844	JNC-JNC	ENSMUSG00000020074.8	protein_coding	Ccar1	UP	mmu-Ccar1_0009	NA	MMU_CIRCpedia_25384	1	Kidney	2.6469717497243073	0.008642719714276239	7.022804411739402
cRNA_0185	chr10:106881074-106889377	JNC-JNC	ENSMUSG00000035948.14	protein_coding	Acss3	UP	mmu-Acss3_0006	NA	MMU_CIRCpedia_39032	1	Muscle	2.1422011852460123	0.00335305491572686	4.641119175740254
cRNA_0193	chr17:26485257-26486332	JNC-JNC	ENSMUSG00000024188.17	protein_coding	Luc7l	UP	mmu-Luc7l_0003	mm9_circ_003008	MMU_CIRCpedia_14734	1	Kidney	1.6159755195483658	0.022432678528924263	5.916060920537688
cRNA_0195	chr17:26958517-26962105	JNC-JNC	ENSMUSG00000048249.15	protein_coding	Crebrf	UP	mmu-Crebrf_0009	mm9_circ_004122	MMU_CIRCpedia_14835	4	Ileon, Kidney, Liver, Muscle	0.9184643427371102	0.006606609739039002	26.7803252127433
cRNA_0206	chr17:51224555-51227631	JNC-JNC	ENSMUSG00000023923.11	protein_coding	Tbc1d5	UP	mmu-Tbc1d5_0002,mmu-Tbc1d5_0127	NA	MMU_CIRCpedia_21984	1	Kidney	1.1873751035062927	0.00721343320439977	8.509976579616158
cRNA_0207	chr17:57726322-57727524	JNC-JNC	ENSMUSG00000004730.16	protein_coding	Adgre1	DOWN	mmu-Emr1_0001	NA	MMU_CIRCpedia_23820	1	Muscle	-1.664418688894074	0.01921920363316094	3.775370425158115
cRNA_0213	chr17:69514854-69517378	JNC-JNC	ENSMUSG00000024044.20	protein_coding	Epb41l3	UP	mmu-Epb4.1l3_0021	mm9_circ_009155	MMU_CIRCpedia_27127	1	Ileon	1.7257072512322214	0.02107524408394696	3.303269486583378
cRNA_0215	chr17:74213005-74214740	JNC-JNC	ENSMUSG00000024066.10	protein_coding	Xdh	UP	mmu-Xdh_0001	NA	MMU_CIRCpedia_39091	2	Ileon, Muscle	1.344858458417435	0.017195417249426352	9.584780347836062
cRNA_0225	chr17:81955238-81957067	FULLEX	ENSMUSG00000054640.16	protein_coding	Slc8a1	DOWN	mmu-intergenic_000192,mmu-intergenic_023916	mm9_circ_014302	MMU_CIRCpedia_30902	1	Kidney	-1.43565780489206	1.4888087222919627e-29	274.03686562051337
cRNA_0231	chr16:11048374-11056963	JNC-JNC	ENSMUSG00000062203.16	protein_coding	Gspt1	UP	mmu-Gspt1_0009,mmu-Gspt1_0010	NA	MMU_CIRCpedia_3345,MMU_CIRCpedia_3346	1	Kidney	2.396116758839463	0.01339687365656314	7.135348988703347
cRNA_0234	chr16:13515197-13516939	JNC-JNC	ENSMUSG00000022684.16	protein_coding	Bfar	UP	mmu-Bfar_0002	mm9_circ_009604	MMU_CIRCpedia_8487	5	Colon, Ileon, Kidney, Liver, Muscle	2.375281060564402	2.611552725313872e-4	8.128570398175656
cRNA_0240	chr16:32770662-32782114	JNC-JNC	ENSMUSG00000022801.14	protein_coding	Lrch3	DOWN	mmu-Lrch3_0004	mm9_circ_007087	MMU_CIRCpedia_16720	1	Colon	-0.8688280569482183	0.00246179835422608	17.772137776773583
cRNA_0252	chr16:70230433-70238207	JNC-JNC	ENSMUSG00000022707.17	protein_coding	Gbe1	DOWN	mmu-Gbe1_0012,mmu-Gbe1_0019,mmu-Gbe1_0015	NA	MMU_CIRCpedia_27487	1	Liver	-0.433943866049949	0.03927737192586566	37.187313099203536
cRNA_0261	chr15:4064742-4089478	JNC-JNC	ENSMUSG00000022186.15	protein_coding	Oxct1	UP	mmu-Oxct1_0011	NA	MMU_CIRCpedia_19333	1	Heart	1.8046162161715047	0.0123130264601651	10.181114783292497
cRNA_0262	chr15:4076947-4089478	JNC-JNC	ENSMUSG00000022186.15	protein_coding	Oxct1	UP	mmu-Oxct1_0001	mm9_circ_000453	MMU_CIRCpedia_19364	2	Heart, Kidney	1.322071827392681	0.0020400566809677632	25.73126101345551
cRNA_0266	chr15:41660870-41689448	JNC-JNC	ENSMUSG00000022307.17	protein_coding	Oxr1	DOWN	mmu-Oxr1_0018	NA	MMU_CIRCpedia_19726	1	Liver	-1.2004051604628396	0.00766947344184444	6.797286414421885
cRNA_0268	chr15:50685501-50710338	JNC-JNC	ENSMUSG00000038679.17	protein_coding	Trps1	DOWN	mmu-Trps1_0001	NA	MMU_CIRCpedia_21954	1	Kidney	-1.4750015755690096	0.0011057034611107763	8.067054975726409
cRNA_0273	chr15:72871821-72903492	JNC-JNC	ENSMUSG00000047921.19	protein_coding	Trappc9	UP	mmu-Trappc9_0019	NA	MMU_CIRCpedia_28258	1	Kidney	1.026297933918192	0.04000462140037487	6.952907407882281
cRNA_0276	chr15:82709432-82741485	JNC-JNC	ENSMUSG00000041852.16	protein_coding	Tcf20	UP	mmu-Tcf20_0007	mm9_circ_000890	MMU_CIRCpedia_31127	1	Liver	0.8569556330393917	0.01755979333515904	9.603414457621476
cRNA_0276	chr15:82709432-82741485	JNC-JNC	ENSMUSG00000041852.16	protein_coding	Tcf20	DOWN	mmu-Tcf20_0007	mm9_circ_000890	MMU_CIRCpedia_31127	1	Kidney	-0.5699631071390572	0.01120767137358506	45.03893811569727
cRNA_0277	chr15:82735714-82741485	FULLEX	ENSMUSG00000041852.16	protein_coding	Tcf20	DOWN	mmu-Tcf20_0003,mmu-Tcf20_0032	mm9_circ_001424	MMU_CIRCpedia_31130	1	Heart	-1.9796515060308915	1.1416965418090196e-5	20.26895300416751
cRNA_0278	chr15:88695500-88696362	JNC-JNC	ENSMUSG00000035845.18	protein_coding	Alg12	UP	mmu-Alg12_0001	mm9_circ_017350	MMU_CIRCpedia_33206	1	Muscle	1.002781290003483	0.0049411321182049345	16.298118172336974
cRNA_0278	chr15:88695500-88696362	JNC-JNC	ENSMUSG00000035845.18	protein_coding	Alg12	DOWN	mmu-Alg12_0001	mm9_circ_017350	MMU_CIRCpedia_33206	1	Kidney	-0.7502754456211951	0.00217819720788186	35.13410672917445
cRNA_0285	chr15:99717375-99724718	JNC-JNC	ENSMUSG00000023022.15	protein_coding	Lima1	UP	mmu-Lima1_0003	NA	MMU_CIRCpedia_36196	1	Ileon	1.2664618317445169	8.229001923022615e-4	13.064671089077551
cRNA_0290	chr14:8456108-8456690	JNC-JNC	ENSMUSG00000021738.6	protein_coding	Atxn7	UP	mmu-Atxn7_0001	NA	MMU_CIRCpedia_8902	2	Ileon, Muscle	1.0911808222701296	0.01160968193759536	12.48267760642328
cRNA_0299	chr14:34398911-34417062	JNC-JNC	ENSMUSG00000041408.19	protein_coding	Wapl	UP	mmu-Wapal_0026	NA	MMU_CIRCpedia_17425	2	Colon, Ileon	2.111668554966003	0.023300883008752195	3.6491348241140598
cRNA_0300	chr14:34413639-34417062	JNC-JNC	ENSMUSG00000041408.19	protein_coding	Wapl	UP	mmu-Wapal_0027	mm9_circ_002816	MMU_CIRCpedia_17430	3	Ileon, Kidney, Liver	0.6085223507215434	0.01227923351626988	27.871155793378094
cRNA_0308	chr14:54995896-54997202	JNC-JNC	ENSMUSG00000022180.8	protein_coding	Slc7a8	UP	mmu-Slc7a8_0001	mm9_circ_001412	MMU_CIRCpedia_22951	1	Ileon	3.70864093727886	0.00482665073551977	5.5066935965821315
cRNA_0314	chr14:75013021-75023830	JNC-JNC	ENSMUSG00000068015.9	protein_coding	Lrch1	DOWN	mmu-Lrch1_0015	mm9_circ_013364	MMU_CIRCpedia_28856	1	Colon	-1.4450458926141216	0.01202162922706232	4.98040282568816
cRNA_0318	chr14:102133903-102139805	JNC-JNC	ENSMUSG00000033060.17	protein_coding	Lmo7	UP	mmu-Lmo7_0019,mmu-Lmo7_0082	NA	MMU_CIRCpedia_36899	1	Ileon	1.8952859494147931	0.00856271230538487	3.925916146429617
cRNA_0320	chr14:120562206-120562824	FULLEX	ENSMUSG00000022139.18	protein_coding	Mbnl2	UP	mmu-Mbnl2_0008	NA	MMU_CIRCpedia_5057	3	Heart, Kidney, Muscle	1.6367825267623513	0.00690384004973941	6.227274061270611
cRNA_0322	chr18:6111685-6115850	JNC-JNC	ENSMUSG00000041225.17	protein_coding	Arhgap12	DOWN	mmu-Arhgap12_0004	mm9_circ_014015	MMU_CIRCpedia_25033	2	Kidney, Muscle	-1.0520944048070349	0.02969816138313877	8.450301383589483
cRNA_0327	chr18:21280789-21281961	FULLEX	ENSMUSG00000042680.9	protein_coding	Garem1	UP	mmu-Garem_0002	NA	MMU_CIRCpedia_13152	1	Liver	1.6890954788876371	0.030645130751712903	3.5356032116861194
cRNA_0336	chr18:39230683-39244953	JNC-JNC	ENSMUSG00000036452.19	protein_coding	Arhgap26	UP	mmu-Arhgap26_0012	mm9_circ_018468	MMU_CIRCpedia_19041	2	Ileon, Kidney	1.6273133526894044	0.024925446923677125	3.6177815854659174
cRNA_0344	chr18:73808232-73811110	JNC-JNC	ENSMUSG00000024515.14	protein_coding	Smad4	DOWN	mmu-Smad4_0010	mm9_circ_006973	MMU_CIRCpedia_28512	1	Colon	-1.18770738508346	0.00112727154662628	12.271038349222644
cRNA_0345	chr18:74102962-74104347	FULLEX	ENSMUSG00000024558.13	protein_coding	Mapk4	DOWN	mmu-Mapk4_0002	mm9_circ_009337	MMU_CIRCpedia_28597	1	Kidney	-1.253937132246378	0.04279527298846354	6.531817203390543
cRNA_0348	chr18:79129766-79130395	FULLEX	ENSMUSG00000024548.12	protein_coding	Setbp1	DOWN	mmu-Setbp1_0001	mm9_circ_012515	MMU_CIRCpedia_30067	2	Ileon, Kidney	-0.887817505005392	0.011344002481913192	38.96034596850387
cRNA_0356	chr19:29731000-29732417	FULLEX	ENSMUSG00000046138.16	protein_coding	9930021J03Rik	UP	mmu-9930021J03Rik_0010	NA	MMU_CIRCpedia_15577	1	Colon	1.5742089257954073	0.0046164268023337895	4.813918860782041
cRNA_0363	chr19:43798910-43803253	JNC-JNC	ENSMUSG00000025194.6	protein_coding	Abcc2	UP	mmu-Abcc2_0001	NA	MMU_CIRCpedia_39335	1	Kidney	1.1808525544461022	0.03751016466053324	7.927004023439824
cRNA_0367	chr19:45910056-45928942	JNC-JNC	ENSMUSG00000039901.11	protein_coding	Armh3	UP	mmu-9130011E15Rik_0030	NA	MMU_CIRCpedia_20739	1	Heart	4.356313872331611	0.00136859874052109	3.020790175071875
cRNA_0371	chr19:57366981-57367607	JNC-JNC	ENSMUSG00000033478.6	protein_coding	Fhip2a	UP	mmu-Fam160b1_0001	mm9_circ_007735	MMU_CIRCpedia_23815	1	Ileon	1.1689216805531693	0.011016197829501261	11.606865490319898
cRNA_0377	chr7:14312661-14343264	JNC-JNC	ENSMUSG00000121301.1	lncRNA	Nlrp5-ps	DOWN	mmu-Nlrp5-ps_0001,mmu-Nlrp5-ps_0043	NA	MMU_CIRCpedia_9614	3	Heart, Kidney, Muscle	-1.4641389230946626	0.0010006414990102	12.01248438155202
cRNA_0382	chr7:46499602-46500482	JNC-JNC	ENSMUSG00000063229.16	protein_coding	Ldha	UP	mmu-Ldha_0003	NA	MMU_CIRCpedia_20984	1	Kidney	1.9765107148989969	0.023014469575836697	8.0386284402446
cRNA_0386	chr7:67347972-67361251	JNC-JNC	ENSMUSG00000030555.17	protein_coding	Ttc23	DOWN	mmu-Ttc23_0005	NA	MMU_CIRCpedia_26833	1	Liver	-1.9357095691198336	0.00200305231940682	3.6896149342319817
cRNA_0398	chr7:97310020-97313973	JNC-JNC	ENSMUSG00000035623.15	protein_coding	Rsf1	UP	mmu-Rsf1_0003,mmu-Rsf1_0036	mm9_circ_014201	MMU_CIRCpedia_35603	2	Kidney, Liver	1.4201292195723962	0.007561273829817063	6.862290641906428
cRNA_0402	chr7:99584369-99604747	JNC-JNC	ENSMUSG00000058761.6	protein_coding	Rnf169	UP	mmu-Rnf169_0002,mmu-Rnf169_0024	mm9_circ_015248	MMU_CIRCpedia_36209	1	Kidney	0.6098205180900302	0.00208714901980981	69.53517105134411
cRNA_0405	chr7:115959231-115967424	JNC-JNC	ENSMUSG00000030660.10	protein_coding	Pik3c2a	UP	mmu-Pik3c2a_0007	NA	MMU_CIRCpedia_4050	1	Kidney	0.837798568125191	0.03200600724905966	10.446469957512416
cRNA_0410	chr7:120651310-120656622	JNC-JNC	ENSMUSG00000030876.8	protein_coding	Mettl9	UP	mmu-Mettl9_0005	mm9_circ_008117	MMU_CIRCpedia_5314	3	Colon, Kidney, Muscle	1.1854450869691915	0.00486577313456713	10.511429068280933
cRNA_0416	chr7:132373307-132381114	JNC-JNC	ENSMUSG00000030956.16	protein_coding	Fam53b	DOWN	mmu-Fam53b_0001	NA	MMU_CIRCpedia_7869	1	Muscle	-1.1363489933969808	7.750639299260847e-4	13.4480001701148
cRNA_0447	chr6:47553470-47554601	JNC-JNC	ENSMUSG00000029687.17	protein_coding	Ezh2	DOWN	mmu-Ezh2_0018	mm9_circ_002148	MMU_CIRCpedia_21123	2	Heart, Ileon	-1.44647259801779	0.018319254990601826	19.713920038737353
cRNA_0451	chr6:52596962-52607334	JNC-JNC	ENSMUSG00000029776.12	protein_coding	Hibadh	UP	mmu-Hibadh_0005	NA	MMU_CIRCpedia_22407	1	Muscle	1.2466881897084923	0.013429252210140335	12.532705340074273
cRNA_0452	chr6:65846165-65878843	JNC-JNC	ENSMUSG00000029913.15	protein_coding	Prdm5	UP	mmu-Prdm5_0014	mm9_circ_017142	MMU_CIRCpedia_26346	1	Kidney	1.838053134691493	0.00305108910527881	6.699577036899322
cRNA_0457	chr6:88332465-88335624	JNC-JNC	ENSMUSG00000033216.10	protein_coding	Eefsec	DOWN	mmu-Eefsec_0001	mm9_circ_010484	MMU_CIRCpedia_33084	2	Colon, Kidney	-1.7431579822343832	0.014960508098325739	4.767934427722387
cRNA_0462	chr6:113385866-113386301	FULLEX	ENSMUSG00000030276.20	protein_coding	Ttll3	DOWN	mmu-Ttll3_0001	mm9_circ_009482	MMU_CIRCpedia_3534	1	Kidney	-1.8422559064538802	0.036792315422373115	3.3652992703772147
cRNA_0466	chr6:119029562-119034476	JNC-JNC	ENSMUSG00000051331.17	protein_coding	Cacna1c	DOWN	mmu-Cacna1c_0026	mm9_circ_006741	MMU_CIRCpedia_4657	2	Colon, Ileon	-1.7217187983953424	0.013769139403459455	6.8952682537558285
cRNA_0467	chr6:119897071-119897989	JNC-JNC	ENSMUSG00000030166.15	protein_coding	Rad52	DOWN	mmu-Rad52_0003,mmu-Rad52_0005	mm9_circ_012490	MMU_CIRCpedia_4990,MMU_CIRCpedia_4991	1	Kidney	-0.5209016523490527	5.494679808704933e-4	61.51839340440729
cRNA_0470	chr6:134518615-134519008	FULLEX	ENSMUSG00000030201.16	protein_coding	Lrp6	UP	mmu-Lrp6_0008	NA	MMU_CIRCpedia_8121	1	Kidney	0.8478263120595496	0.03866861400574561	15.68244503574926
cRNA_0477	chr5:3797021-3822787	JNC-JNC	ENSMUSG00000040351.12	protein_coding	Ankib1	DOWN	mmu-Ankib1_0002	mm9_circ_000903	MMU_CIRCpedia_18584	1	Kidney	-0.45660101244826967	0.0037434474513325	85.14619749803339
cRNA_0482	chr5:25552359-25558406	JNC-JNC	ENSMUSG00000038056.16	protein_coding	Kmt2c	UP	mmu-Kmt2c_0018	NA	MMU_CIRCpedia_14487	1	Kidney	1.2340143357810416	0.04096684869749403	4.799810281296058
